Compound,Negative,Neutral,Positive,text,tokens
0.0772,0.0,0.961,0.039,"Whether youre looking to make a larger investment or you just want to dabble in cryptocurrencies, you can purchase Bitcoin, Ethereum, Bitcoin Cash, and Litecoin through PayPal. And, soon, youll be ab… [+3818 chars]","['looking', 'make', 'larger', 'investment', 'want', 'dabble', 'cryptocurrencies', 'purchase', 'bitcoin', 'ethereum', 'bitcoin', 'cash', 'litecoin', 'paypal', 'soon', 'youll', 'ab', 'char']"
0.5859,0.0,0.873,0.127,"As it promised earlier this year, Tesla now accepts payment in Bitcoin, according to Tesla's website and a tweet from CEO Elon Musk. In a subsequent tweet, Musk said that ""Bitcoin paid to Tesla will … [+1390 chars]","['promised', 'earlier', 'year', 'tesla', 'accepts', 'payment', 'bitcoin', 'according', 'tesla', 'website', 'tweet', 'ceo', 'elon', 'musk', 'subsequent', 'tweet', 'musk', 'bitcoin', 'paid', 'tesla', 'char']"
0.3182,0.0,0.935,0.065,"The inevitable has happened: You can now purchase a Tesla vehicle with Bitcoin. 
This is according to Tesla CEO, pardon, Technoking Elon Musk, who tweeted it on Wednesday. 
You can now buy a Tesla … [+1648 chars]","['inevitable', 'happened', 'purchase', 'tesla', 'vehicle', 'bitcointhis', 'according', 'tesla', 'ceo', 'pardon', 'technoking', 'elon', 'musk', 'tweeted', 'wednesdayyou', 'buy', 'tesla', 'char']"
0.2023,0.0,0.95,0.05,"Tesla made headlines earlier this year when it took out significant holdings in bitcoin, acquiring a roughly $1.5 billion stake at then-prices in early February. At the time, it also noted in an SEC … [+2071 chars]","['tesla', 'made', 'headline', 'earlier', 'year', 'took', 'significant', 'holding', 'bitcoin', 'acquiring', 'roughly', 'billion', 'stake', 'thenprices', 'early', 'february', 'time', 'noted', 'sec', 'char']"
0.6075,0.102,0.719,0.178,"National Burrito Day lands on April Fools Day this year, but thankfully restaurants arent playing around with their deals. Starting tomorrow, restaurants like Pollo Loco and Moes Southwest Grill are … [+2882 chars]","['national', 'burrito', 'day', 'land', 'april', 'fool', 'day', 'year', 'thankfully', 'restaurant', 'arent', 'playing', 'around', 'deal', 'starting', 'tomorrow', 'restaurant', 'pollo', 'loco', 'moes', 'southwest', 'grill', 'char']"
-0.5574,0.11,0.89,0.0,"One of the strictest crackdowns worldwide
Photo by Michele Doying / The Verge
India is reportedly moving forward with a sweeping ban on cryptocurrencies. According to Reuters, the countrys legislat… [+1656 chars]","['one', 'strictest', 'crackdown', 'worldwidephoto', 'michele', 'doying', 'vergeindia', 'reportedly', 'moving', 'forward', 'sweeping', 'ban', 'cryptocurrencies', 'according', 'reuters', 'country', 'legislat', 'char']"
-0.5106,0.142,0.858,0.0,"The hacker behind last years big Twitter hack
 has just been sentenced to hard time.
Graham Ivan Clark, the teenage hacker who broke
 into Twitters systems, took over verified accounts, and used t… [+2552 chars]","['hacker', 'behind', 'last', 'year', 'big', 'twitter', 'hack', 'sentenced', 'hard', 'timegraham', 'ivan', 'clark', 'teenage', 'hacker', 'broke', 'twitter', 'system', 'took', 'verified', 'account', 'used', 'char']"
0.3612,0.0,0.933,0.067,"It seems like everyone is making money off of NFTs, or non-fungible tokens, those digital artworks that have been labeled the next investment mania. Everyone, that is, except for you. Its the same fe… [+5036 chars]","['seems', 'everyone', 'making', 'money', 'nfts', 'nonfungible', 'token', 'digital', 'artwork', 'labeled', 'next', 'investment', 'mania', 'everyone', 'except', 'fe', 'char']"
0.7717,0.051,0.709,0.24,Data centers and bitcoin mining operations are becoming huge energy hogs and the explosive growth of both risks undoing a lot of the progress that’s been made to reduce global greenhouse gas emission… [+2494 chars],"['data', 'center', 'bitcoin', 'mining', 'operation', 'becoming', 'huge', 'energy', 'hog', 'explosive', 'growth', 'risk', 'undoing', 'lot', 'progress', 'thats', 'made', 'reduce', 'global', 'greenhouse', 'gas', 'emission', 'char']"
-0.25,0.095,0.838,0.068,"A proposed law in India would make it a crime to mine, trade, or even hold cryptocurrencies like bitcoin in the country, according to a new report from Reuters citing a senior government official. It… [+1725 chars]","['proposed', 'law', 'india', 'would', 'make', 'crime', 'mine', 'trade', 'even', 'hold', 'cryptocurrencies', 'bitcoin', 'country', 'according', 'new', 'report', 'reuters', 'citing', 'senior', 'government', 'official', 'char']"
